"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis","18/952","87/10563",0.206896551724138,2.29563894523327,3.81903063752648,0.000634191513943455,0.00488615734606435,0.00382335553860648,"16168/11975/21934/66335/24088/20297/330122/11433/11972/11600/14825/108664/21871/114143/69583/20310/20315/66290",18
"Environmental Information Processing","Signal transduction","mmu04152","AMPK signaling pathway","23/952","127/10563",0.181102362204724,2.00943723946271,3.60181510284679,0.000889985055604212,0.00670455408555173,0.00524622769619325,"12683/13631/20249/100705/14104/107476/30049/108079/12491/18641/235542/20250/11651/329065/18708/19744/26427/207565/13685/20787/227154/12428/56690",23
"Cellular Processes","Transport and catabolism","mmu04145","Phagosome","30/952","183/10563",0.163934426229508,1.81894889103182,3.51715035495527,0.00091059768609737,0.00671070903450018,0.00525104386490932,"11975/12491/100529082/66212/15015/15006/22042/66335/21899/20333/20778/24088/53421/11972/71116/20390/69717/20335/18711/110557/280408/15007/108664/21871/114143/108802/15018/17523/15013/66290",30
"Metabolism","Carbohydrate metabolism","mmu00051","Fructose and mannose metabolism","10/952","36/10563",0.277777777777778,3.08210784313726,3.93830571963637,0.000973597670432923,0.00702233213354811,0.00549488494846801,"331026/11676/18641/15277/218138/110119/54128/22122/69080/20322",10
"Organismal Systems","Digestive system","mmu04975","Fat digestion and absorption","11/952","43/10563",0.255813953488372,2.83840629274966,3.80167619101608,0.0011665601278158,0.0082388309026991,0.00644677965371891,"12613/110460/224530/12491/55979/26569/13350/20778/66350/110446/19012",11
"Human Diseases","Neurodegenerative disease","mmu05016","Huntington disease","44/952","308/10563",0.142857142857143,1.58508403361345,3.27969184401466,0.00139817734665352,0.00967310450031722,0.00756908037286117,"20512/11772/54405/28080/68197/22272/78330/12861/14775/12858/232910/26427/227197/11951/12868/67264/66445/228033/66916/66694/66218/66945/11950/66046/69920/66108/18796/17706/12866/66142/17705/69875/17720/66152/17719/75406/17711/230075/17708/17709/14776/17710/52639/641340",44
"Organismal Systems","Endocrine system","mmu04914","Progesterone-mediated oocyte maturation","18/952","93/10563",0.193548387096774,2.14753320683112,3.49816799763247,0.00143398895562825,0.00972244511915956,0.00760768877512252,"14677/11651/20111/18708/12530/26395/208922/67579/432530/20878/12428/268697/12532/268930/18817/434175/12531/75430",18
"Metabolism","Metabolism of other amino acids","mmu00410","beta-Alanine metabolism","9/952","32/10563",0.28125,3.12063419117647,3.78105686722741,0.00157650903933216,0.0104791483202667,0.0081997993377029,"74147/66054/56752/104776/93747/11669/227095/56690/103149",9
"Environmental Information Processing","Signal transduction","mmu04066","HIF-1 signaling pathway","21/952","117/10563",0.179487179487179,1.99151583710407,3.39410163291656,0.0016430508751381,0.0107114278206118,0.00838155507155467,"13645/68263/22041/11676/18641/22042/18597/11651/15277/18708/13685/228026/11600/16828/433182/26395/13806/15979/18655/71775/16194",21
"Metabolism","Lipid metabolism","mmu00071","Fatty acid degradation","12/952","52/10563",0.230769230769231,2.56052036199095,3.55022894698488,0.00186524096795353,0.0117095682988194,0.00916258721099979,"14081/66885/110460/224530/74147/270076/50790/56752/93747/110446/11669/12896",12
"Metabolism","Amino acid metabolism","mmu00380","Tryptophan metabolism","12/952","52/10563",0.230769230769231,2.56052036199095,3.55022894698488,0.00186524096795353,0.0117095682988194,0.00916258721099979,"100470/110460/224530/74147/270076/71724/56752/13382/93747/110446/11669/209692",12
