"Length","Symbol","logFC","unshrunk.logFC","logCPM","PValue","FDR"
2751,"Gnb4",0.801424774646399,0.80313340094175,3.98305764885595,0.113788549433396,0.542947799839825
3736,"Trim12c",0.680262085195534,0.680471463461279,3.64452687510639,0.113848458909329,0.543068242635396
3632,"Adamts8",-0.74673146860036,-0.747450268145848,3.50173500311029,0.113959701748422,0.543433402705944
5673,"Nlgn1",-0.806706997572668,-0.808933896159163,-0.111191429666399,0.114035849911568,0.543631037390359
2721,"Pth1r",0.685309999125427,0.685904646780128,1.326728765828,0.114164217287496,0.544025883307445
2862,"Itgb2",-0.938070518308009,-0.943542227523348,-0.284657460842069,0.11418813305553,0.544025883307445
432,"Gm2225",-0.672702665285763,-0.672948441527455,4.37196758665169,0.114316569679836,0.544413963061933
557,"Gm10051",-0.676667188018752,-0.676982664746628,4.28597446679087,0.114370239744148,0.544413963061933
3583,"Gdpd5",0.687257903852178,0.687375285720271,4.7786982001113,0.114373849501234,0.544413963061933
3359,"Apol6",0.812141661415431,0.814246647646841,3.03394659298264,0.114448923679371,0.544605829112197
1699,"Mtg2",0.725615109360544,0.726319249165167,2.97814840231083,0.114714769370442,0.545632584615526
351,"Lin52-ps",0.788273930741353,0.791864855734562,0.461686686620301,0.114734358999268,0.545632584615526
390,"Rps29",-0.662033441128869,-0.662267380992334,4.35363797350265,0.114851349758256,0.545967947761911
1475,"Ssbp4",-0.667470165453152,-0.667850204330503,4.90633070774774,0.114874583838063,0.545967947761911
2580,"Polh",-0.690576897043789,-0.690964405767564,2.95280757230246,0.114964804716242,0.546231017858639
2268,"Stoml1",0.67659627953191,0.676838086428111,3.42841660307904,0.115177159705846,0.546936938562008
2584,"Tc2n",0.829340035360831,0.832913564563304,4.7275644810882,0.115183208446605,0.546936938562008
507,"Sct",-1.27841432157158,-1.30352964625723,-0.38836011406631,0.115219012128566,0.546941159089087
2097,"Krt79",1.88706513610819,2.02640250020634,-0.411228918387864,0.115359616737077,0.54744271317368
10970,"Setx",0.645714709568052,0.645807254439507,5.485570965798,0.115402273291795,0.54747928864808
5272,"Syk",-0.901839025086357,-0.909091005754739,-0.130035508493797,0.11557069801028,0.548082920821811
1678,"Slc25a1",0.662160608784397,0.662298063628815,7.50235931402903,0.115605853562379,0.548082920821811
3010,"Ttll13",0.873662284777514,0.879525001036155,-0.486524920850437,0.115653366447334,0.548082920821811
659,"Gm19579",-0.775566275527658,-0.779907331695322,0.161692169657586,0.115669462894153,0.548082920821811
2701,"Hoxb9",1.0636855887809,1.07669932410314,-0.33013670139214,0.115815021012103,0.548363243442003
2098,"Havcr1",-4.2454888893781,-144269480.806549,-0.0659664476078999,0.115826631030842,0.548363243442003
1477,"Gsdma3",-1.66673976738091,-1.78023820336018,-1.68875688867503,0.115833640124455,0.548363243442003
1251,"Them5",-0.860892323458179,-0.867066827335024,1.76032276018514,0.115946262961869,0.548696845704174
4635,"Plag1",1.07705482949508,1.09451335774022,-0.245150059611968,0.115974162536005,0.548696845704174
7340,"Syncrip",-0.65021697070599,-0.650233307363586,7.7161641096923,0.116131708547514,0.549228141027597
984,"4930426I24Rik",1.13156079931465,1.15124595630905,-1.71192291803469,0.116156580352661,0.549228141027597
3433,"Kif19a",1.47869605815382,1.54156540452727,-1.01628712212579,0.116231464882355,0.549416384243237
1504,"Cebpb",-0.661670450463148,-0.661678364809097,8.99373358277611,0.116410874896397,0.549756533553243
972,"Prtn3",-1.30171566116309,-1.31304539939402,-0.388736869182906,0.116444032785319,0.549756533553243
8127,"Tbl1xr1",0.70719382531947,0.707360191473824,4.63340621137898,0.116460459355597,0.549756533553243
4373,"Wnt5a",0.689417414029324,0.689662500321365,4.11205175393993,0.11648227541817,0.549756533553243
4101,"Tcf23",-1.3387894198433,-1.36823159417973,-1.23325934527209,0.116488242112534,0.549756533553243
730,"Nanos3",-2.12216277117428,-2.36586201928434,-1.59239747471007,0.116513992428775,0.549756533553243
8122,"Nrp2",-0.707141146696239,-0.707234857519833,4.66688139677727,0.116889213454704,0.551360893937951
3680,"Edar",-0.743214229361475,-0.743920406161725,2.71510845162373,0.117117048308167,0.552269284090136
1515,"Lpar5",0.749186023478813,0.74992274116068,1.42656696100008,0.117220438207035,0.552590479841471
695,"Gm38426",0.761919325314124,0.764377345396288,1.23773128233525,0.117451751554967,0.553514346603056
791,"Gm11578",1.07573259064265,1.09318963228308,-1.05263272214975,0.11756470104884,0.553880012610548
2221,"Zfp995",0.778885403513823,0.780954622805299,1.02345714758338,0.117651980096411,0.554124554482946
