"","Length","Symbol","logFC","logCPM","F","PValue","FDR"
"641340",1789,"Nrbf2",-0.290276523227173,3.46811316725188,2.96781339797241,0.109790568066746,0.179059786440977
"320438",3114,"Alg6",-0.306310468640248,3.39925901856146,2.96756912981192,0.109803744182581,0.179062633002304
"54634",2908,"Magix",-1.21896156987406,-0.70575087851217,2.97053730916136,0.10982919453666,0.179085493121347
"68792",2938,"Srpx2",-2.02895064225049,-1.53243718476252,2.93322207479714,0.109865914608884,0.179108614257488
"72634",2650,"Tdrkh",-0.475200688465314,0.712721114575939,2.96577969756854,0.10986624158316,0.179108614257488
"378435",1080,"Mafa",4.50329741693354,2.24262753206123,2.99556415442656,0.109985693457795,0.179284691781098
"14198",987,"Fhit",0.712531015654564,1.20705770860792,2.96428019194971,0.110000634832806,0.179290390662357
"78751",4916,"Zc3h6",-0.5062588208445,2.30530378184923,2.96078384446293,0.110172178087939,0.179551307714062
"13449",1717,"Dok2",-1.84086879153651,-1.12092042421835,2.93213066192424,0.11025365052631,0.179665394309231
"16151",7237,"Ikbkg",-0.199035553974409,4.65779011085329,2.95786637055934,0.110327838632861,0.179767588119801
"56544",2739,"Vmn2r1",1.56012166875222,-1.23370878182314,2.90017997524599,0.110340872026486,0.179770125875705
"242594",3136,"Fyb2",0.333160619463958,2.08005318021878,2.95532708893968,0.1105206202727,0.180025355341896
"13199",3740,"Ddn",4.50168000899899,-1.12123172965478,2.9750824323508,0.110530845468601,0.180025355341896
"12870",4993,"Cp",0.310360001651539,8.99775416891702,2.95410469353066,0.110532005597086,0.180025355341896
"214048",1705,"Larp1b",-0.196220136881433,5.91009603108041,2.95059228447113,0.110723108341454,0.180317859670326
"216441",2215,"Slc26a10",0.719920232037235,0.953347618779169,2.9469376421384,0.110936882552456,0.18064722091312
"75665",1853,"Bicdl1",0.32500216328623,1.2698404118762,2.94667884802326,0.111031025906761,0.180781729636151
"223527",2429,"Eny2",-0.178959906897256,5.48994962103879,2.9440339590155,0.111081007605002,0.180844313462103
"11740",1238,"Slc25a5",-0.205065796721453,8.54924920125084,2.94322116165867,0.11112545273392,0.180897871461796
"76742",6247,"Snx27",0.16834422263294,5.29828795708016,2.94265303363112,0.111156552703311,0.180929696394156
"224691",2337,"Zfp472",0.461352602211182,1.16448927895073,2.93919743259768,0.111372306398878,0.181262044648148
"232449",1688,"Dera",-0.192301379263783,4.0403247661095,2.93836909584577,0.111391779751203,0.181274904405007
"114663",1386,"Impa2",-0.233913735117567,4.32256391850972,2.93137458866847,0.111776041958837,0.181881343854283
"233060",2193,"Zfp382",1.48099263855693,0.728109596743677,2.90461559542472,0.111827379828671,0.181945980994613
"378466",2602,"Gm10033",-0.577688040686819,0.928396133845279,2.92959887285688,0.111883610451577,0.182011937082672
"56496",1763,"Tspan6",0.461231769450184,3.08083294957701,2.92933779296315,0.11189115570419,0.182011937082672
"23863",1680,"Dand5",-0.667522007416973,1.23201760170532,2.92846485833679,0.11194475985182,0.182080226672075
"407803",840,"BC051226",-0.657348634254502,-0.0617979283635012,2.92847250140378,0.111975143298273,0.182110737102102
"94232",3372,"Ubqln4",0.198271158700857,6.15146885814349,2.92456658697202,0.112151796594443,0.182379102424161
"23886",1084,"Gdf15",0.6714075147875,2.39439062847443,2.92341215918664,0.112233042021194,0.182492277689642
"68212",808,"Tmbim4",-0.194477568781859,5.14830340268406,2.9214448004719,0.112324717359052,0.182614975290225
"100041244",2092,"Gm3230",4.75382005779956,-1.35504685519613,2.95913394489307,0.112331816271727,0.182614975290225
"223650",11474,"Eppk1",0.598465583831638,5.67862539134485,2.92040187032929,0.11238323698315,0.182679610598843
"227615",914,"Tmem203",-0.346984065246215,2.28237804662583,2.91670831441734,0.112589060889625,0.182995189752644
"70261",1171,"Chp2",-1.37218069773135,0.990854689756302,2.91484111003295,0.112753809319077,0.183243948851887
"27756",1133,"Lsm2",-0.28838623968312,3.27597997732837,2.91220587024294,0.112838854809794,0.183363139065916
"14462",3215,"Gata3",-0.273944852457338,6.60050498574577,2.91116583730115,0.112896294109705,0.183437449147239
"271849",4820,"Shc4",-0.692424911770489,1.50318654132551,2.91052026244782,0.112969570508026,0.183523724875764
"666634",881,"Gm8203",-0.272543398693681,6.68895929436816,2.90979451276426,0.112972823426556,0.183523724875764
"55936",5835,"Ctps2",0.201671717124951,5.12507990389,2.90629671698338,0.113168331147288,0.183822263316286
"68808",777,"1110046J04Rik",3.80811538635087,-0.715902022960893,2.9137082402688,0.113230413643163,0.183904036259218
"231571",3398,"Rpap2",-0.292610597004853,3.03361719195495,2.90147029295,0.11343943517094,0.18422441965092
"236069",774,"Gm13238",4.1974483826931,-0.941298183724367,2.92285001378639,0.113504083211984,0.184310299939435
"252967",910,"Ropn1l",-0.781411852989325,-0.740508159947933,2.90234163169975,0.113556836182237,0.184376848962972
"234365",783,"Yjefn3",1.23709197833466,-0.987704670432988,2.90013083296068,0.113574427848001,0.184386300366766
"16211",5909,"Kpnb1",0.185516778516413,7.79283219271409,2.89785141211764,0.113642041728072,0.184476951675673
"216767",744,"Mrpl22",-0.441767182309448,1.68914673559209,2.89713867082501,0.113685137176732,0.184527787159207
"70611",3446,"Fbxo33",0.223611800838272,5.60669583375748,2.8964312536718,0.11372196148421,0.18456843417428
"238384",2092,"Slc24a4",3.80811538635087,-2.01740915664401,2.88358584489357,0.113879172596362,0.184804437866157
"22033",2102,"Traf5",-0.750081266517099,3.71869566625293,2.89301147096334,0.113954348880395,0.184907279387962
"12984",4619,"Csf2rb2",1.17169805186895,3.71953501396852,2.89116742527325,0.114048908673662,0.185041548873425
"11768",1738,"Ap1m2",-0.199502941407121,5.9561940743497,2.8849810041161,0.11436872830815,0.185541231249707
"407795",1481,"Smim31",-0.905468526099329,0.475128306539679,2.90578031877304,0.114522917930725,0.185772135174983
"70967",2142,"Eva1c",2.13342000177709,3.02919045007033,2.83782809727713,0.114552506192972,0.185792431242625
"381270",4187,"Marchf4",3.80811538635087,-0.725558742375849,2.92897461603038,0.114564938142632,0.185792431242625
"72113",2287,"Adck1",-0.251835881180788,3.83094009037562,2.88142147288318,0.114571010903527,0.185792431242625
"69408",1008,"Dnajc17",0.487040784878054,1.08441038530611,2.88106689575157,0.114598013565906,0.185816984008894
