"","B.lactating","B.pregnant","B.virgin","L.lactating","L.pregnant","L.virgin"
"432964",-12.838625804456,-13.2417682648671,-13.2924421255253,-13.8935944510679,-13.3974222748163,-13.538658685925
"105782",-9.17664338974532,-9.18185238947408,-9.01221576945387,-9.45130383759036,-9.07469330180321,-9.2589652020551
"67959",-9.03885538984699,-8.88215875705978,-8.9805689952364,-9.11391480691773,-9.04361803896044,-9.07852412825788
"223649",-7.95186655656989,-8.19153610116128,-8.64005751028054,-9.51428188379006,-9.2711040408667,-8.76060749941757
"223650",-9.47852684331237,-10.6100552027646,-9.00362960707311,-12.3140043427194,-11.8991796106243,-9.58926309003152
"18810",-7.95989547237301,-8.51409923176216,-8.17710886741945,-9.5398040077361,-8.53174225972451,-7.83340579380317
"671535",-10.710881145907,-10.6218169742437,-10.8219936439956,-10.5853159887337,-10.4476072029304,-10.5108409195073
"66168",-10.1906813374022,-10.018146709555,-9.48316504190167,-9.12631935647201,-8.95210244653933,-8.69346051435272
"100503915",-14.8073332582887,-15.518523494009,-14.2847937294313,-14.980449050107,-16.1172881173362,-14.7099213969792
"75475",-10.1182058451176,-10.8487095597487,-10.5831901648339,-9.20010538280368,-9.49726507765392,-9.9734781429573
"109075",-11.4131093857254,-11.6517122762019,-12.0466712042832,-11.4316971187634,-11.6841989435458,-11.7492184972011
"14731",-10.5820924117423,-10.4283995699163,-10.3498577911996,-9.69643630815294,-10.0309733444236,-10.1458191865734
"66445",-9.61478006288366,-9.11909158518213,-9.55623003209928,-8.28027608833723,-8.71843880269856,-9.20364455453184
"106025",-10.6782539013313,-10.7779901836123,-10.7396012483878,-10.3381461216266,-10.5410119169541,-10.6480365942517
"68877",-9.82807639816812,-10.1480431778783,-10.1403507646422,-10.6901384097593,-10.1101357335204,-10.3574072906455
"59053",-12.3904247611066,-11.5658905350479,-11.7108889484003,-11.1641183422572,-11.4464431344209,-11.3814435964879
"223658",-10.0587904331572,-10.2739682737307,-10.3671141621651,-9.20972524588381,-9.60324111073134,-10.1113880863369
"12181",-10.2569297724053,-9.94579691219528,-9.98834352378227,-9.30081526585569,-9.32349688568366,-9.81630984135895
"20289",-10.2807938819586,-11.0943076199394,-10.5516272111278,-13.4898483175291,-12.9108974692137,-12.9357479618466
"15499",-9.98783188502949,-9.79737976382017,-9.94634368798618,-10.251823746424,-10.1543308332745,-10.1125261834749
"13350",-10.7219735458282,-10.7386715765871,-10.5045345517438,-9.65533561014369,-10.3262977094929,-10.9654686584437
"30840",-11.1743561441579,-11.0399201168287,-10.6837417622001,-10.5749155629195,-10.3677663943361,-10.6103868927098
"52710",-11.8802186442268,-11.7287451743387,-11.9850710983495,-8.89261609034808,-9.52365818599865,-11.5613690653625
"268822",-11.4340388499166,-11.7305887606278,-11.2914431386702,-11.0781838056269,-11.0583064693476,-10.4436701430229
"94230",-9.97920089514047,-9.81758589481139,-9.57077336613656,-9.13115786736029,-9.19951471941602,-9.37162192823891
"72027",-13.8999975112178,-12.3623733704689,-11.8140087264436,-12.3138599873358,-9.3020443641496,-11.7287862518434
"66914",-9.94170125931317,-9.98742047689477,-10.110899309934,-10.0788149900971,-9.69917635161908,-9.92171302581445
"72749",-12.7799901502373,-12.3193622048365,-11.7107683823662,-10.3309907254657,-10.8058365316342,-11.1467245451566
