"","Length","Symbol","MCL1.DG","MCL1.DH","MCL1.DI","MCL1.DJ","MCL1.DK","MCL1.DL","MCL1.LA","MCL1.LB","MCL1.LC","MCL1.LD","MCL1.LE","MCL1.LF"
"169",11336,"Hecw2",90,77,194,158,253,234,19,12,5,4,50,40
"170",3005,"Gtf3c3",277,208,196,183,228,292,259,272,138,134,135,147
"171",10579,"Pgap1",232,242,238,240,229,231,307,315,90,93,69,77
"172",6140,"Ankrd44",1281,1385,484,549,637,582,256,270,29,48,13,18
"173",6192,"Sf3b1",18573,17467,16440,13835,10459,10757,15047,15956,12618,12309,6437,6220
"174",1733,"Coq10b",5825,5636,5220,4648,3907,3331,4957,5033,4556,4029,2122,1818
"175",2332,"Hspd1",5398,5221,5127,3496,2045,1768,6178,5944,5409,3715,2874,3158
"176",768,"Hspe1",1138,1051,975,712,393,336,1130,1189,1018,716,470,448
"177",2826,"Mob4",1208,1084,1239,1152,1377,1209,1344,1452,898,776,491,455
"178",3677,"Rftn2",245,268,79,110,83,187,404,298,22,14,109,105
"179",2882,"Mars2",235,230,299,216,125,111,264,300,251,175,158,141
"180",6555,"Plcl1",562,1045,1126,962,916,1013,75,67,96,258,878,837
"181",1369,"Gm6644",235,146,152,107,90,80,102,96,76,63,61,56
"182",5286,"Satb2",22,21,8,8,2,9,16,16,15,11,14,11
"183",3008,"1700066M21Rik",65,47,94,70,55,62,48,64,90,37,63,71
"184",1442,"Tyw5",190,174,222,197,202,188,222,207,106,80,47,65
"185",1325,"Maip1",261,283,300,259,169,171,477,481,411,343,177,180
"186",4045,"Spats2l",1238,968,958,1151,1741,1469,364,290,19,43,12,17
"187",2733,"Kctd18",167,159,185,177,180,202,163,176,58,76,16,49
"188",5416,"Sgo2a",115,102,87,55,23,14,86,91,70,37,111,89
"189",4382,"Aox1",537,693,281,435,298,319,213,190,7,33,19,20
"190",4360,"Aox3",3,2,2,5,3,3,5,20,19,41,118,143
"191",4973,"Aox4",2,0,4,2,2,0,2,8,15,23,1,2
"192",4776,"Aox2",0,0,4,3,0,0,8,20,20,16,12,5
"193",2833,"Bzw1",7308,7641,7408,5959,4673,3815,6744,7383,5580,4842,2089,2021
"194",3088,"Clk1",8421,6773,4161,3781,4822,6623,5909,6132,3033,2588,1941,2384
"195",1630,"Ppil3",241,196,241,214,235,210,238,294,241,197,96,86
"196",2105,"Nif3l1",259,207,174,123,151,150,321,280,260,207,132,155
"197",3371,"Orc2",691,523,421,329,393,365,563,553,447,359,320,314
"198",8695,"Hycc2",194,166,188,155,181,186,330,374,318,345,332,303
"199",532,"Ndufb3",477,457,660,630,454,476,733,700,579,571,489,479
"200",936,"Gm20257",40,45,60,60,62,43,56,57,51,38,32,31
"201",7814,"Cflar",1726,1999,2552,2479,2614,2111,1047,1315,1444,1581,644,524
"202",2777,"Casp8",527,528,315,333,266,290,775,805,553,479,398,359
"203",6240,"Trak2",3938,3769,3757,3198,3270,2831,1587,2015,2198,2204,939,931
"204",2318,"Stradb",138,112,131,114,197,192,93,89,162,160,98,131
"205",1972,"Tmem237",502,429,392,365,291,290,226,236,100,75,28,27
"206",3087,"Mpp4",14,22,10,19,11,14,2,2,5,9,0,1
"207",7038,"Als2",1259,1491,1660,1519,1583,1132,554,738,588,553,393,404
"208",1477,"Cdk15",19,29,60,107,56,32,0,1,0,3,0,0
"209",4809,"Fzd7",9624,5400,7854,8459,5579,6912,792,815,345,290,115,110
"210",3595,"Gm973",0,6,5,3,7,7,9,24,12,19,0,4
"211",1215,"Sumo1",1809,1780,1724,1466,1438,1238,1873,2025,2046,1623,1012,890
"212",1976,"Nop58",14863,17215,18013,15650,12093,9593,5854,5874,3822,3320,2774,2552
"213",3507,"Bmpr2",1518,1790,1975,1872,1222,1058,791,818,458,420,172,222
"214",5532,"Fam117b",1838,1602,1743,1225,861,749,820,890,1039,854,590,437
"215",3650,"Ica1l",39,26,20,14,16,16,6,5,1,0,7,7
"216",3376,"Wdr12",286,259,300,195,122,110,266,263,274,175,95,122
"217",2604,"Carf",63,87,87,76,109,106,69,68,33,39,27,53
"218",431,"Gm15464",762,932,761,664,452,416,1039,1190,849,707,382,323
"219",12108,"Nbeal1",1182,1152,1139,1157,1790,1452,758,692,418,465,317,289
"220",1501,"Cyp20a1",328,283,242,231,276,242,489,464,414,318,333,337
"221",5974,"Abi2",1091,839,1155,843,933,829,498,477,223,173,42,45
"222",9117,"Raph1",1160,1203,1519,1259,1085,1018,1083,1304,1089,983,817,700
"223",791,"Gm11578",7,8,6,6,9,13,5,16,14,11,6,7
"224",8392,"Pard3b",477,444,354,323,184,204,441,379,644,525,93,69
"225",8122,"Nrp2",869,1176,1167,1510,791,633,182,245,399,284,46,41
"226",13529,"Ino80d",1899,1800,1992,1726,1596,1319,1804,2039,1360,1294,611,522
"227",1802,"Ino80dos",30,39,35,31,31,28,41,35,21,8,3,10
"228",1301,"Gm20342",11,15,11,7,10,12,10,11,4,7,7,0
"229",2927,"Ndufs1",1391,1231,1790,1561,1324,1202,1380,1480,1386,1179,1540,1549
"230",1933,"Eef1b2",12512,13977,10741,8897,5143,4677,19932,21272,20303,18038,6171,6073
"231",113,"Snora41",51,33,47,56,20,30,38,36,19,15,8,11
"232",1606,"Cmklr2",23,10,5,5,3,2,6,4,0,0,1,0
"233",12621,"Zdbf2",280,311,127,69,28,32,153,75,15,13,2,2
"234",6879,"Adam23",24,26,12,16,12,9,1,2,0,1,1,0
"235",3205,"Fastkd2",486,329,340,250,293,270,592,584,457,367,278,313
"236",1344,"Klf7",340,354,387,430,458,482,383,411,385,364,65,75
"237",8421,"Creb1",959,813,781,731,840,824,1140,1089,783,668,332,363
"238",2666,"Mettl21a",170,170,200,159,232,221,161,124,63,78,56,74
"239",713,"2810408I11Rik",51,49,22,23,19,16,30,30,56,24,67,65
"240",2927,"Ccnyl1",1373,1310,797,705,721,558,335,423,223,160,97,78
"241",6914,"Fzd5",3220,2317,1546,1040,1239,1380,1025,1241,2365,1776,638,584
"242",8562,"Plekhm3",763,680,362,435,583,646,305,277,107,104,87,63
"243",1020,"Gm8550",21,31,21,18,5,5,27,19,15,19,13,8
"244",2438,"Idh1",617,579,727,927,1311,1420,530,495,336,431,192,220
"245",11255,"Pikfyve",670,534,468,453,642,626,557,550,362,334,576,660
"246",5520,"Map2",2950,3524,3346,3852,2701,2198,2913,2443,787,975,174,194
"247",13533,"Unc80",21,50,28,33,2,8,34,64,12,25,7,3
"248",2630,"Rpe",563,518,658,549,617,565,719,801,893,717,809,958
"249",4760,"Kansl1l",2428,2609,2495,1925,1762,1312,735,778,231,225,136,135
